"id","site","lat","lon"
1,"EG Simmons",27.7254537529633,-82.5077772092503
2,"EG Simmons",27.7164934987952,-82.4991061733286
3,"EG Simmons",27.7366164819321,-82.5033926812676
4,"EG Simmons",27.7276559743935,-82.4947211007833
5,"EG Simmons",27.7477790658636,-82.4990072762187
6,"EG Simmons",27.7186948934864,-82.4860509416223
7,"EG Simmons",27.7388183046159,-82.4903351511704
8,"EG Simmons",27.7589415044258,-82.4946209934142
9,"EG Simmons",27.729856970051,-82.4816644482041
10,"EG Simmons",27.7499804893964,-82.4859483237173
11,"EG Simmons",27.7611425284157,-82.4815606176732
12,"EG Simmons",27.7521806858453,-82.4728888269683
13,"EG Simmons",27.7633423246949,-82.4684996976647
14,"EG Simmons",27.7543796549042,-82.459828786668
15,"EG Simmons",27.7655408929064,-82.4554382340354
16,"EG Simmons",27.7565773962458,-82.4467682035834
17,"EG Simmons",27.7677382326589,-82.4423762276817
18,"EG Simmons",27.7788989219945,-82.4379833700381
19,"Big Bayou",27.7068780499283,-82.6311029647008
20,"Big Bayou",27.6979146878579,-82.6222800615193
21,"Big Bayou",27.7090334646087,-82.6182120497688
22,"Big Bayou",27.717996878173,-82.6270382202251
23,"Big Bayou",27.7291191878354,-82.6229746156398
24,"Big Bayou",27.7201544152845,-82.6141477101518
25,"Big Bayou",27.7402385775688,-82.6189077926857
26,"Big Bayou",27.7492079504925,-82.627739913065
27,"Big Bayou",27.6935879285898,-82.6480656485449
28,"Big Bayou",27.6957501298832,-82.6351795514763
29,"Big Bayou",27.6846245062548,-82.6392257621251
